k_minutes,mean_bca,method,n_results,std_bca
0.0,0.49408370541948965,loso,9,0.14181670099495092
0.5,nan,loso,0,nan
1.0,nan,loso,0,nan
2.0,nan,loso,0,nan
5.0,nan,loso,0,nan
10.0,nan,loso,0,nan
15.0,nan,loso,0,nan
30.0,nan,loso,0,nan
0.0,0.5045469576719577,ea,9,0.09704995212777107
0.5,nan,ea,0,nan
1.0,nan,ea,0,nan
2.0,nan,ea,0,nan
5.0,nan,ea,0,nan
10.0,nan,ea,0,nan
15.0,nan,ea,0,nan
30.0,nan,ea,0,nan
0.0,0.5094944566145547,tta,9,0.12415520437597571
0.5,nan,tta,0,nan
1.0,nan,tta,0,nan
2.0,nan,tta,0,nan
5.0,nan,tta,0,nan
10.0,nan,tta,0,nan
15.0,nan,tta,0,nan
30.0,nan,tta,0,nan
0.0,0.49408370541948965,finetune,9,0.14181670099495092
0.5,0.49500264849529546,finetune,9,0.14294394769664473
1.0,0.4945357950872656,finetune,9,0.14264223015225203
2.0,0.4964369109467148,finetune,9,0.1411619825870933
5.0,0.49947115384615387,finetune,9,0.14234807647463427
10.0,0.5353173555747085,finetune,9,0.13825480094692635
15.0,0.5629716167093618,finetune,9,0.14207812356561292
30.0,0.5603306030389364,finetune,9,0.13700410987888162
0.0,0.49408370541948965,lora,9,0.14181670099495092
0.5,0.49522190998906684,lora,9,0.14220459937619678
1.0,0.4942921883853256,lora,9,0.14096208902115245
2.0,0.49475573491504865,lora,9,0.1406984265178225
5.0,0.49678554470221137,lora,9,0.1414773547649431
10.0,0.5345324981844589,lora,9,0.12918361695713199
15.0,0.5702384094663506,lora,9,0.13042406212111793
30.0,0.563704242380713,lora,9,0.1281704201322059
0.0,0.5005990537240537,ea_lora,9,0.10295583301725254
0.5,0.5021151302401302,ea_lora,9,0.10169395090486898
1.0,0.501538546330213,ea_lora,9,0.10246741639256098
2.0,0.5019964217880885,ea_lora,9,0.10157066212701718
5.0,0.5041337175895999,ea_lora,9,0.10384329017805449
10.0,0.5190636047866439,ea_lora,9,0.10018332316967826
15.0,0.5451714339581987,ea_lora,9,0.10735829987323474
30.0,0.5323671662397153,ea_lora,9,0.09729539981583037
0.0,0.48375983584316923,cld,9,0.1367917937145768
0.5,0.4902514175185744,cld,9,0.13243001781139993
1.0,0.4956055477746654,cld,9,0.13236140699924112
2.0,0.5007157670760612,cld,9,0.13347314749986774
5.0,0.5023985242245046,cld,9,0.1354337400690351
10.0,0.5241808568156608,cld,9,0.12760240167152906
15.0,0.5347034383553991,cld,9,0.12634287696982452
30.0,0.5410918284692795,cld,9,0.13080317031691216
0.0,0.4825038704940666,ea_cld,9,0.09255466539753358
0.5,0.48445815078168014,ea_cld,9,0.09117807378038958
1.0,0.48602000486804403,ea_cld,9,0.0963409878725137
2.0,0.48583499924186196,ea_cld,9,0.09291583373722954
5.0,0.4944539860103586,ea_cld,9,0.09682215419581698
10.0,0.5059018151420112,ea_cld,9,0.09504387646935779
15.0,0.5205628177196805,ea_cld,9,0.0907967112534542
30.0,0.525508550998747,ea_cld,9,0.0909777093442941
